bid_seq,auction_player_slno,name,country,isindian,speciality,Batting_handedness,Bowling_handedness,team_name,bid_amt,base_price,est_auc_prc,Status
8701,7,"Hanuma Vihari",India,Indian,"Top Order",RHB,"RIGHT ARM Off Break","DELHI CAPITALS",50,50,0,Unsold
8702,7,"Hanuma Vihari",India,Indian,"Top Order",RHB,"RIGHT ARM Off Break","RAJASTHAN ROYALS",55,50,0,Unsold
8703,7,"Hanuma Vihari",India,Indian,"Top Order",RHB,"RIGHT ARM Off Break","DELHI CAPITALS",60,50,0,Unsold
8704,7,"Hanuma Vihari",India,Indian,"Top Order",RHB,"RIGHT ARM Off Break","RAJASTHAN ROYALS",65,50,0,Unsold
8705,7,"Hanuma Vihari",India,Indian,"Top Order",RHB,"RIGHT ARM Off Break","DELHI CAPITALS",70,50,0,Unsold
8706,7,"Hanuma Vihari",India,Indian,"Top Order",RHB,"RIGHT ARM Off Break","RAJASTHAN ROYALS",75,50,0,Unsold
8707,7,"Hanuma Vihari",India,Indian,"Top Order",RHB,"RIGHT ARM Off Break","DELHI CAPITALS",80,50,0,Unsold
8708,7,"Hanuma Vihari",India,Indian,"Top Order",RHB,"RIGHT ARM Off Break","RAJASTHAN ROYALS",85,50,0,Unsold
8709,7,"Hanuma Vihari",India,Indian,"Top Order",RHB,"RIGHT ARM Off Break","DELHI CAPITALS",90,50,0,Unsold
8710,7,"Hanuma Vihari",India,Indian,"Top Order",RHB,"RIGHT ARM Off Break","MUMBAI INDIANS",95,50,0,Unsold
8711,7,"Hanuma Vihari",India,Indian,"Top Order",RHB,"RIGHT ARM Off Break","DELHI CAPITALS",100,50,0,Unsold
8712,7,"Hanuma Vihari",India,Indian,"Top Order",RHB,"RIGHT ARM Off Break","MUMBAI INDIANS",110,50,0,Unsold
8713,7,"Hanuma Vihari",India,Indian,"Top Order",RHB,"RIGHT ARM Off Break","DELHI CAPITALS",120,50,0,Unsold
8714,7,"Hanuma Vihari",India,Indian,"Top Order",RHB,"RIGHT ARM Off Break","MUMBAI INDIANS",130,50,0,Unsold
8715,7,"Hanuma Vihari",India,Indian,"Top Order",RHB,"RIGHT ARM Off Break","DELHI CAPITALS",140,50,0,Unsold
8716,7,"Hanuma Vihari",India,Indian,"Top Order",RHB,"RIGHT ARM Off Break","MUMBAI INDIANS",150,50,0,Unsold
8717,7,"Hanuma Vihari",India,Indian,"Top Order",RHB,"RIGHT ARM Off Break","DELHI CAPITALS",160,50,0,Unsold
8718,7,"Hanuma Vihari",India,Indian,"Top Order",RHB,"RIGHT ARM Off Break","MUMBAI INDIANS",170,50,0,Unsold
8719,7,"Hanuma Vihari",India,Indian,"Top Order",RHB,"RIGHT ARM Off Break","DELHI CAPITALS",180,50,0,Unsold
8720,7,"Hanuma Vihari",India,Indian,"Top Order",RHB,"RIGHT ARM Off Break","MUMBAI INDIANS",190,50,0,Unsold
8721,7,"Hanuma Vihari",India,Indian,"Top Order",RHB,"RIGHT ARM Off Break","DELHI CAPITALS",200,50,0,Sold
