Bid by Bid Slno,Auction Player Slno,Player Name,Country,Speciality,Batting handedness,Bowling handedness,Base Price,Probable Auction Price,Real time Auction Price,Team id,Team Short Name,Bid Amount,Awarded,Created ON
1,6,Steve Smith,Australia,BATSMAN,RHB,-,200,400-600,0,8,RCB,200,N,1/4/2021
2,6,Steve Smith,Australia,BATSMAN,RHB,-,200,400-600,0,3,DC,220,Y,1/4/2021
3,13,Glenn Maxwell,Australia,ALL-ROUNDER,RHB,RIGHT ARM Off Break,200,900-1200,1500,4,KKR,200,N,1/4/2021
4,13,Glenn Maxwell,Australia,ALL-ROUNDER,RHB,RIGHT ARM Off Break,200,900-1200,1500,7,RR,220,N,1/4/2021
5,13,Glenn Maxwell,Australia,ALL-ROUNDER,RHB,RIGHT ARM Off Break,200,900-1200,1500,4,KKR,240,N,1/4/2021
6,13,Glenn Maxwell,Australia,ALL-ROUNDER,RHB,RIGHT ARM Off Break,200,900-1200,1500,7,RR,260,N,1/4/2021
7,13,Glenn Maxwell,Australia,ALL-ROUNDER,RHB,RIGHT ARM Off Break,200,900-1200,1500,4,KKR,280,N,1/4/2021
8,13,Glenn Maxwell,Australia,ALL-ROUNDER,RHB,RIGHT ARM Off Break,200,900-1200,1500,8,RCB,300,N,1/4/2021
9,13,Glenn Maxwell,Australia,ALL-ROUNDER,RHB,RIGHT ARM Off Break,200,900-1200,1500,8,RCB,320,N,1/4/2021
10,13,Glenn Maxwell,Australia,ALL-ROUNDER,RHB,RIGHT ARM Off Break,200,900-1200,1500,4,KKR,340,N,1/4/2021
11,13,Glenn Maxwell,Australia,ALL-ROUNDER,RHB,RIGHT ARM Off Break,200,900-1200,1500,8,RCB,360,N,1/4/2021
12,13,Glenn Maxwell,Australia,ALL-ROUNDER,RHB,RIGHT ARM Off Break,200,900-1200,1500,4,KKR,380,N,1/4/2021
13,13,Glenn Maxwell,Australia,ALL-ROUNDER,RHB,RIGHT ARM Off Break,200,900-1200,1500,8,RCB,400,N,1/4/2021
14,13,Glenn Maxwell,Australia,ALL-ROUNDER,RHB,RIGHT ARM Off Break,200,900-1200,1500,4,KKR,420,N,1/4/2021
15,13,Glenn Maxwell,Australia,ALL-ROUNDER,RHB,RIGHT ARM Off Break,200,900-1200,1500,8,RCB,440,N,1/4/2021
16,13,Glenn Maxwell,Australia,ALL-ROUNDER,RHB,RIGHT ARM Off Break,200,900-1200,1500,1,CSK,460,N,1/4/2021
17,13,Glenn Maxwell,Australia,ALL-ROUNDER,RHB,RIGHT ARM Off Break,200,900-1200,1500,8,RCB,480,N,1/4/2021
18,13,Glenn Maxwell,Australia,ALL-ROUNDER,RHB,RIGHT ARM Off Break,200,900-1200,1500,1,CSK,500,N,1/4/2021
19,13,Glenn Maxwell,Australia,ALL-ROUNDER,RHB,RIGHT ARM Off Break,200,900-1200,1500,8,RCB,525,N,1/4/2021
20,13,Glenn Maxwell,Australia,ALL-ROUNDER,RHB,RIGHT ARM Off Break,200,900-1200,1500,1,CSK,550,N,1/4/2021
21,13,Glenn Maxwell,Australia,ALL-ROUNDER,RHB,RIGHT ARM Off Break,200,900-1200,1500,8,RCB,575,N,1/4/2021
22,13,Glenn Maxwell,Australia,ALL-ROUNDER,RHB,RIGHT ARM Off Break,200,900-1200,1500,1,CSK,600,N,1/4/2021
23,13,Glenn Maxwell,Australia,ALL-ROUNDER,RHB,RIGHT ARM Off Break,200,900-1200,1500,8,RCB,625,N,1/4/2021
24,13,Glenn Maxwell,Australia,ALL-ROUNDER,RHB,RIGHT ARM Off Break,200,900-1200,1500,1,CSK,650,N,1/4/2021
25,13,Glenn Maxwell,Australia,ALL-ROUNDER,RHB,RIGHT ARM Off Break,200,900-1200,1500,8,RCB,675,N,1/4/2021
26,13,Glenn Maxwell,Australia,ALL-ROUNDER,RHB,RIGHT ARM Off Break,200,900-1200,1500,1,CSK,700,N,1/4/2021
27,13,Glenn Maxwell,Australia,ALL-ROUNDER,RHB,RIGHT ARM Off Break,200,900-1200,1500,8,RCB,725,N,1/4/2021
28,13,Glenn Maxwell,Australia,ALL-ROUNDER,RHB,RIGHT ARM Off Break,200,900-1200,1500,1,CSK,750,N,1/4/2021
29,13,Glenn Maxwell,Australia,ALL-ROUNDER,RHB,RIGHT ARM Off Break,200,900-1200,1500,8,RCB,775,N,1/4/2021
30,13,Glenn Maxwell,Australia,ALL-ROUNDER,RHB,RIGHT ARM Off Break,200,900-1200,1500,1,CSK,800,N,1/4/2021
31,13,Glenn Maxwell,Australia,ALL-ROUNDER,RHB,RIGHT ARM Off Break,200,900-1200,1500,8,RCB,825,N,1/4/2021
32,13,Glenn Maxwell,Australia,ALL-ROUNDER,RHB,RIGHT ARM Off Break,200,900-1200,1500,1,CSK,850,N,1/4/2021
33,13,Glenn Maxwell,Australia,ALL-ROUNDER,RHB,RIGHT ARM Off Break,200,900-1200,1500,8,RCB,875,N,1/4/2021
34,13,Glenn Maxwell,Australia,ALL-ROUNDER,RHB,RIGHT ARM Off Break,200,900-1200,1500,1,CSK,900,N,1/4/2021
35,13,Glenn Maxwell,Australia,ALL-ROUNDER,RHB,RIGHT ARM Off Break,200,900-1200,1500,8,RCB,925,N,1/4/2021
36,13,Glenn Maxwell,Australia,ALL-ROUNDER,RHB,RIGHT ARM Off Break,200,900-1200,1500,1,CSK,950,N,1/4/2021
37,13,Glenn Maxwell,Australia,ALL-ROUNDER,RHB,RIGHT ARM Off Break,200,900-1200,1500,8,RCB,975,N,1/4/2021
38,13,Glenn Maxwell,Australia,ALL-ROUNDER,RHB,RIGHT ARM Off Break,200,900-1200,1500,1,CSK,1000,N,1/4/2021
39,13,Glenn Maxwell,Australia,ALL-ROUNDER,RHB,RIGHT ARM Off Break,200,900-1200,1500,8,RCB,1025,N,1/4/2021
40,13,Glenn Maxwell,Australia,ALL-ROUNDER,RHB,RIGHT ARM Off Break,200,900-1200,1500,1,CSK,1050,N,1/4/2021
41,13,Glenn Maxwell,Australia,ALL-ROUNDER,RHB,RIGHT ARM Off Break,200,900-1200,1500,8,RCB,1075,N,1/4/2021
42,13,Glenn Maxwell,Australia,ALL-ROUNDER,RHB,RIGHT ARM Off Break,200,900-1200,1500,1,CSK,1100,N,1/4/2021
43,13,Glenn Maxwell,Australia,ALL-ROUNDER,RHB,RIGHT ARM Off Break,200,900-1200,1500,8,RCB,1125,N,1/4/2021
44,13,Glenn Maxwell,Australia,ALL-ROUNDER,RHB,RIGHT ARM Off Break,200,900-1200,1500,1,CSK,1150,N,1/4/2021
45,13,Glenn Maxwell,Australia,ALL-ROUNDER,RHB,RIGHT ARM Off Break,200,900-1200,1500,8,RCB,1175,N,1/4/2021
46,13,Glenn Maxwell,Australia,ALL-ROUNDER,RHB,RIGHT ARM Off Break,200,900-1200,1500,1,CSK,1200,N,1/4/2021
47,13,Glenn Maxwell,Australia,ALL-ROUNDER,RHB,RIGHT ARM Off Break,200,900-1200,1500,8,RCB,1225,N,1/4/2021
48,13,Glenn Maxwell,Australia,ALL-ROUNDER,RHB,RIGHT ARM Off Break,200,900-1200,1500,1,CSK,1250,N,1/4/2021
49,13,Glenn Maxwell,Australia,ALL-ROUNDER,RHB,RIGHT ARM Off Break,200,900-1200,1500,8,RCB,1275,N,1/4/2021
50,13,Glenn Maxwell,Australia,ALL-ROUNDER,RHB,RIGHT ARM Off Break,200,900-1200,1500,1,CSK,1300,N,1/4/2021
51,13,Glenn Maxwell,Australia,ALL-ROUNDER,RHB,RIGHT ARM Off Break,200,900-1200,1500,8,RCB,1325,N,1/4/2021
52,13,Glenn Maxwell,Australia,ALL-ROUNDER,RHB,RIGHT ARM Off Break,200,900-1200,1500,1,CSK,1350,N,1/4/2021
53,13,Glenn Maxwell,Australia,ALL-ROUNDER,RHB,RIGHT ARM Off Break,200,900-1200,1500,8,RCB,1375,N,1/4/2021
54,13,Glenn Maxwell,Australia,ALL-ROUNDER,RHB,RIGHT ARM Off Break,200,900-1200,1500,1,CSK,1400,N,1/4/2021
55,13,Glenn Maxwell,Australia,ALL-ROUNDER,RHB,RIGHT ARM Off Break,200,900-1200,1500,8,RCB,1425,Y,1/4/2021
56,8,Shakib Al Hasan,Bangladesh,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,200,200-500,600,4,KKR,200,N,1/4/2021
57,8,Shakib Al Hasan,Bangladesh,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,200,200-500,600,6,PK,220,N,1/4/2021
58,8,Shakib Al Hasan,Bangladesh,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,200,200-500,600,4,KKR,240,N,1/4/2021
59,8,Shakib Al Hasan,Bangladesh,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,200,200-500,600,6,PK,260,N,1/4/2021
60,8,Shakib Al Hasan,Bangladesh,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,200,200-500,600,4,KKR,280,N,1/4/2021
61,8,Shakib Al Hasan,Bangladesh,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,200,200-500,600,6,PK,300,N,1/4/2021
62,8,Shakib Al Hasan,Bangladesh,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,200,200-500,600,4,KKR,320,Y,1/4/2021
63,9,Moeen Ali,England,ALL-ROUNDER,LHB,RIGHT ARM Off Break,200,0-300,0,6,PK,200,N,1/4/2021
64,9,Moeen Ali,England,ALL-ROUNDER,LHB,RIGHT ARM Off Break,200,0-300,0,1,CSK,220,N,1/4/2021
65,9,Moeen Ali,England,ALL-ROUNDER,LHB,RIGHT ARM Off Break,200,0-300,0,6,PK,240,N,1/4/2021
66,9,Moeen Ali,England,ALL-ROUNDER,LHB,RIGHT ARM Off Break,200,0-300,0,1,CSK,260,N,1/4/2021
67,9,Moeen Ali,England,ALL-ROUNDER,LHB,RIGHT ARM Off Break,200,0-300,0,6,PK,280,N,1/4/2021
68,9,Moeen Ali,England,ALL-ROUNDER,LHB,RIGHT ARM Off Break,200,0-300,0,1,CSK,300,N,1/4/2021
69,9,Moeen Ali,England,ALL-ROUNDER,LHB,RIGHT ARM Off Break,200,0-300,0,6,PK,320,N,1/4/2021
70,9,Moeen Ali,England,ALL-ROUNDER,LHB,RIGHT ARM Off Break,200,0-300,0,1,CSK,340,N,1/4/2021
71,9,Moeen Ali,England,ALL-ROUNDER,LHB,RIGHT ARM Off Break,200,0-300,0,6,PK,360,N,1/4/2021
72,9,Moeen Ali,England,ALL-ROUNDER,LHB,RIGHT ARM Off Break,200,0-300,0,1,CSK,380,N,1/4/2021
73,9,Moeen Ali,England,ALL-ROUNDER,LHB,RIGHT ARM Off Break,200,0-300,0,6,PK,400,N,1/4/2021
